title,city,salary_from,salary_to,salary_mid,experience_years,url
Финансовый аналитик,Санкт-Петербург,134456,142476,138466.0,2.0,https://hh.ru/vacancy/1000057
Data Scientist (junior),Санкт-Петербург,93413,140168,116790.5,0.0,https://hh.ru/job/1000058
Системный аналитик,Удалённо,96800,147448,122124.0,1.0,https://hh.ru/job/1000059
Финансовый аналитик,Удалённо,137239,151755,144497.0,2.0,https://hh.ru/job/1000060
Продуктовый аналитик,Новосибирск,82318,89714,86016.0,0.0,https://hh.ru/vacancy/1000061
Маркетинг-аналитик,Москва,159803,248885,204344.0,2.0,https://hh.ru/vacancy/1000062
Системный аналитик,Казань,110173,134302,122237.5,2.0,https://hh.ru/job/1000063
Junior аналитик,Казань,110390,116981,113685.5,5.0,https://hh.ru/vacancy/1000064
Специалист по рекламе,Удалённо,92329,108632,100480.5,0.5,https://hh.ru/vacancy/1000065
Продуктовый аналитик,Москва,83088,118649,100868.5,3.0,https://hh.ru/job/1000066
SQL-аналитик,Удалённо,156868,233587,195227.5,1.0,https://hh.ru/job/1000067
Системный аналитик,Казань,143196,155510,149353.0,1.0,https://hh.ru/job/1000068
SQL-аналитик,Удалённо,79811,104434,92122.5,0.0,https://hh.ru/vacancy/1000069
Data Scientist (junior),Екатеринбург,154825,227500,191162.5,2.0,https://hh.ru/vacancy/1000070
Продуктовый аналитик,Удалённо,95479,165561,130520.0,0.5,https://hh.ru/vacancy/1000071
Маркетинг-аналитик,Новосибирск,125392,214016,169704.0,1.0,https://hh.ru/vacancy/1000072
Junior аналитик,Удалённо,127369,165499,146434.0,0.0,https://hh.ru/vacancy/1000073
Product manager (junior),Новосибирск,157520,214276,185898.0,3.0,https://hh.ru/job/1000074
Junior аналитик,Москва,59963,91255,75609.0,3.0,https://hh.ru/vacancy/1000075
Финансовый аналитик,Казань,95123,169397,132260.0,2.0,https://hh.ru/vacancy/1000076
Junior аналитик,Санкт-Петербург,142468,149937,146202.5,0.5,https://hh.ru/vacancy/1000077
Интернет-маркетолог,Санкт-Петербург,132705,191652,162178.5,0.5,https://hh.ru/job/1000078
Бизнес-аналитик,Казань,113477,141011,127244.0,2.0,https://hh.ru/job/1000079
Product manager (junior),Санкт-Петербург,54388,123008,88698.0,1.0,https://hh.ru/job/1000080
BI-аналитик,Удалённо,45569,99443,72506.0,0.5,https://hh.ru/vacancy/1000081
Специалист по рекламе,Москва,109836,164544,137190.0,2.0,https://hh.ru/job/1000082
Аналитик данных,Москва,144573,224126,184349.5,5.0,https://hh.ru/job/1000083
Маркетинг-аналитик,Казань,76586,149930,113258.0,2.0,https://hh.ru/job/1000084
Продуктовый аналитик,Санкт-Петербург,52015,106153,79084.0,2.0,https://hh.ru/vacancy/1000085
Бизнес-аналитик,Удалённо,85002,144304,114653.0,5.0,https://hh.ru/job/1000086
Маркетинг-аналитик,Москва,156594,209232,182913.0,0.5,https://hh.ru/vacancy/1000087
Продуктовый аналитик,Москва,46254,129503,87878.5,2.0,https://hh.ru/vacancy/1000088
Специалист по рекламе,Екатеринбург,57144,64863,61003.5,5.0,https://hh.ru/job/1000089
Data Engineer (junior),Екатеринбург,64214,92104,78159.0,0.5,https://hh.ru/vacancy/1000090
Data Engineer (junior),Москва,145654,227890,186772.0,2.0,https://hh.ru/job/1000091
SQL-аналитик,Казань,120719,162228,141473.5,2.0,https://hh.ru/vacancy/1000092
Маркетинг-аналитик,Новосибирск,111774,159308,135541.0,2.0,https://hh.ru/job/1000093
Data Engineer (junior),Новосибирск,46090,69877,57983.5,2.0,https://hh.ru/job/1000094
Интернет-маркетолог,Удалённо,51637,105482,78559.5,5.0,https://hh.ru/job/1000095
Product manager (junior),Москва,62415,125347,93881.0,3.0,https://hh.ru/vacancy/1000096
Продуктовый аналитик,Москва,64071,102133,83102.0,0.0,https://hh.ru/job/1000097
SQL-аналитик,Москва,98243,178956,138599.5,3.0,https://hh.ru/vacancy/1000098
Junior аналитик,Казань,150951,216412,183681.5,0.5,https://hh.ru/job/1000099
Продуктовый аналитик,Екатеринбург,148215,228633,188424.0,1.0,https://hh.ru/vacancy/1000100
SQL-аналитик,Москва,81240,152912,117076.0,1.0,https://hh.ru/vacancy/1000101
Специалист по рекламе,Москва,123807,163639,143723.0,1.0,https://hh.ru/job/1000102
Маркетинг-аналитик,Санкт-Петербург,141570,178536,160053.0,1.0,https://hh.ru/job/1000103
Специалист по рекламе,Казань,73434,150979,112206.5,5.0,https://hh.ru/job/1000104
Product manager (junior),Удалённо,109724,127711,118717.5,2.0,https://hh.ru/job/1000105
Product manager (junior),Москва,155359,197670,176514.5,2.0,https://hh.ru/job/1000106
Бизнес-аналитик,Санкт-Петербург,115697,152272,133984.5,0.0,https://hh.ru/vacancy/1000107
Специалист по рекламе,Новосибирск,68732,137584,103158.0,5.0,https://hh.ru/job/1000108
Финансовый аналитик,Удалённо,51314,57321,54317.5,5.0,https://hh.ru/job/1000109
Junior аналитик,Москва,63954,139935,101944.5,3.0,https://hh.ru/vacancy/1000110
Системный аналитик,Москва,97108,178350,137729.0,0.0,https://hh.ru/job/1000111
Специалист по рекламе,Санкт-Петербург,127044,179561,153302.5,0.0,https://hh.ru/job/1000112
Бизнес-аналитик,Казань,127505,161762,144633.5,0.5,https://hh.ru/vacancy/1000113
Data Scientist (junior),Москва,151195,198402,174798.5,0.0,https://hh.ru/job/1000114
Интернет-маркетолог,Новосибирск,143081,161362,152221.5,1.0,https://hh.ru/job/1000115
Продуктовый аналитик,Москва,76668,142914,109791.0,5.0,https://hh.ru/job/1000116
Product manager (junior),Новосибирск,63061,69496,66278.5,1.0,https://hh.ru/vacancy/1000117
Data Scientist (junior),Удалённо,119252,150912,135082.0,0.0,https://hh.ru/job/1000118
Бизнес-аналитик,Удалённо,79749,89833,84791.0,0.5,https://hh.ru/vacancy/1000119
SQL-аналитик,Екатеринбург,144680,231877,188278.5,0.0,https://hh.ru/job/1000120
Системный аналитик,Екатеринбург,56907,75414,66160.5,0.0,https://hh.ru/vacancy/1000121
Junior аналитик,Новосибирск,58777,136372,97574.5,0.5,https://hh.ru/job/1000122
Junior аналитик,Казань,133229,222036,177632.5,0.5,https://hh.ru/vacancy/1000123
Junior аналитик,Москва,91745,142284,117014.5,3.0,https://hh.ru/vacancy/1000124
Интернет-маркетолог,Москва,148464,160955,154709.5,5.0,https://hh.ru/vacancy/1000125
Системный аналитик,Екатеринбург,131865,187057,159461.0,1.0,https://hh.ru/vacancy/1000126
Интернет-маркетолог,Новосибирск,152428,237823,195125.5,1.0,https://hh.ru/vacancy/1000127
Product manager (junior),Москва,121818,190706,156262.0,3.0,https://hh.ru/vacancy/1000128
Интернет-маркетолог,Москва,63624,142233,102928.5,0.5,https://hh.ru/job/1000129
Аналитик данных,Казань,63321,77398,70359.5,0.5,https://hh.ru/job/1000130
Системный аналитик,Санкт-Петербург,50488,76441,63464.5,3.0,https://hh.ru/vacancy/1000131
Финансовый аналитик,Екатеринбург,62574,144493,103533.5,0.0,https://hh.ru/vacancy/1000132
Системный аналитик,Екатеринбург,45240,118129,81684.5,2.0,https://hh.ru/vacancy/1000133
Бизнес-аналитик,Санкт-Петербург,83221,112042,97631.5,2.0,https://hh.ru/vacancy/1000134
Аналитик данных,Москва,50478,93045,71761.5,1.0,https://hh.ru/job/1000135
Junior аналитик,Казань,95645,125505,110575.0,1.0,https://hh.ru/vacancy/1000136
Бизнес-аналитик,Казань,150698,176893,163795.5,3.0,https://hh.ru/job/1000137
Бизнес-аналитик,Екатеринбург,59262,141737,100499.5,0.0,https://hh.ru/job/1000138
Product manager (junior),Казань,158831,185258,172044.5,0.5,https://hh.ru/vacancy/1000139
Отчётный аналитик,Удалённо,92796,124879,108837.5,2.0,https://hh.ru/vacancy/1000140
BI-аналитик,Санкт-Петербург,44432,106804,75618.0,1.0,https://hh.ru/job/1000141
Аналитик данных,Москва,135257,184321,159789.0,0.0,https://hh.ru/job/1000142
Бизнес-аналитик,Удалённо,104291,117104,110697.5,3.0,https://hh.ru/vacancy/1000143
BI-аналитик,Санкт-Петербург,119104,155702,137403.0,1.0,https://hh.ru/vacancy/1000144
BI-аналитик,Новосибирск,99399,131481,115440.0,3.0,https://hh.ru/vacancy/1000145
Аналитик данных,Екатеринбург,119714,153955,136834.5,3.0,https://hh.ru/job/1000146
Отчётный аналитик,Казань,90428,139997,115212.5,2.0,https://hh.ru/job/1000147
Data Scientist (junior),Новосибирск,127731,144476,136103.5,1.0,https://hh.ru/vacancy/1000148
SQL-аналитик,Казань,40302,71331,55816.5,5.0,https://hh.ru/job/1000149
Финансовый аналитик,Удалённо,122558,140583,131570.5,0.0,https://hh.ru/job/1000150
SQL-аналитик,Москва,40055,59343,49699.0,2.0,https://hh.ru/vacancy/1000151
Системный аналитик,Москва,151317,162857,157087.0,0.5,https://hh.ru/vacancy/1000152
Junior аналитик,Москва,48717,135675,92196.0,1.0,https://hh.ru/job/1000153
Финансовый аналитик,Казань,68699,142577,105638.0,1.0,https://hh.ru/job/1000154
Системный аналитик,Новосибирск,113686,160532,137109.0,5.0,https://hh.ru/vacancy/1000155
Бизнес-аналитик,Москва,107661,188593,148127.0,5.0,https://hh.ru/vacancy/1000156
Junior аналитик,Новосибирск,84247,106729,95488.0,0.5,https://hh.ru/vacancy/1000157
Продуктовый аналитик,Казань,154049,182460,168254.5,0.0,https://hh.ru/vacancy/1000158
Аналитик данных,Удалённо,56748,112723,84735.5,2.0,https://hh.ru/vacancy/1000159
Финансовый аналитик,Новосибирск,145113,210658,177885.5,1.0,https://hh.ru/job/1000160
Финансовый аналитик,Удалённо,44621,128418,86519.5,0.0,https://hh.ru/job/1000161
Специалист по рекламе,Казань,55034,112341,83687.5,2.0,https://hh.ru/job/1000162
Бизнес-аналитик,Казань,151927,160020,155973.5,1.0,https://hh.ru/job/1000163
Data Scientist (junior),Екатеринбург,45126,127384,86255.0,5.0,https://hh.ru/vacancy/1000164
BI-аналитик,Казань,45122,72164,58643.0,0.5,https://hh.ru/vacancy/1000165
Junior аналитик,Казань,58030,115960,86995.0,1.0,https://hh.ru/vacancy/1000166
Бизнес-аналитик,Санкт-Петербург,122838,172251,147544.5,1.0,https://hh.ru/job/1000167
Data Engineer (junior),Москва,124717,163473,144095.0,3.0,https://hh.ru/job/1000168
Отчётный аналитик,Екатеринбург,95658,153926,124792.0,1.0,https://hh.ru/job/1000169
BI-аналитик,Екатеринбург,78638,122852,100745.0,2.0,https://hh.ru/vacancy/1000170
Аналитик данных,Екатеринбург,107067,193938,150502.5,0.5,https://hh.ru/job/1000171
BI-аналитик,Санкт-Петербург,146476,180078,163277.0,3.0,https://hh.ru/vacancy/1000172
Data Scientist (junior),Удалённо,158033,216364,187198.5,1.0,https://hh.ru/vacancy/1000173
Product manager (junior),Казань,145977,199878,172927.5,0.0,https://hh.ru/vacancy/1000174
Специалист по рекламе,Москва,128869,197285,163077.0,2.0,https://hh.ru/vacancy/1000175
BI-аналитик,Новосибирск,145186,182382,163784.0,0.5,https://hh.ru/vacancy/1000176
Аналитик данных,Удалённо,74674,85300,79987.0,0.0,https://hh.ru/vacancy/1000177
Data Scientist (junior),Казань,75854,88278,82066.0,3.0,https://hh.ru/job/1000178
SQL-аналитик,Санкт-Петербург,86271,104128,95199.5,1.0,https://hh.ru/vacancy/1000179
Финансовый аналитик,Казань,113688,138670,126179.0,2.0,https://hh.ru/vacancy/1000180
Product manager (junior),Казань,78518,160479,119498.5,0.5,https://hh.ru/job/1000181
Специалист по рекламе,Санкт-Петербург,151076,158056,154566.0,3.0,https://hh.ru/vacancy/1000182
Финансовый аналитик,Екатеринбург,50267,103557,76912.0,0.0,https://hh.ru/job/1000183
Отчётный аналитик,Екатеринбург,130825,162256,146540.5,1.0,https://hh.ru/job/1000184
Системный аналитик,Москва,41062,131038,86050.0,5.0,https://hh.ru/job/1000185
Product manager (junior),Москва,156664,244375,200519.5,3.0,https://hh.ru/vacancy/1000186
Product manager (junior),Екатеринбург,90448,121833,106140.5,1.0,https://hh.ru/vacancy/1000187
SQL-аналитик,Удалённо,135462,178620,157041.0,1.0,https://hh.ru/job/1000188
SQL-аналитик,Новосибирск,46229,74248,60238.5,3.0,https://hh.ru/vacancy/1000189
Junior аналитик,Казань,96793,120432,108612.5,1.0,https://hh.ru/vacancy/1000190
Интернет-маркетолог,Новосибирск,154813,181376,168094.5,3.0,https://hh.ru/job/1000191
BI-аналитик,Казань,87915,132256,110085.5,3.0,https://hh.ru/job/1000192
Product manager (junior),Екатеринбург,44632,55408,50020.0,0.0,https://hh.ru/vacancy/1000193
Финансовый аналитик,Москва,144592,186036,165314.0,0.0,https://hh.ru/job/1000194
Аналитик данных,Удалённо,43596,117512,80554.0,2.0,https://hh.ru/job/1000195
Маркетинг-аналитик,Москва,149779,163490,156634.5,0.5,https://hh.ru/job/1000196
Интернет-маркетолог,Новосибирск,46168,125486,85827.0,0.5,https://hh.ru/vacancy/1000197
Маркетинг-аналитик,Москва,148099,236069,192084.0,5.0,https://hh.ru/vacancy/1000198
Специалист по рекламе,Екатеринбург,47561,83268,65414.5,2.0,https://hh.ru/vacancy/1000199
Data Scientist (junior),Удалённо,113794,157904,135849.0,3.0,https://hh.ru/job/1000200
Финансовый аналитик,Новосибирск,122152,188940,155546.0,2.0,https://hh.ru/vacancy/1000201
Финансовый аналитик,Удалённо,66734,154613,110673.5,2.0,https://hh.ru/job/1000202
Интернет-маркетолог,Казань,46371,90198,68284.5,0.0,https://hh.ru/vacancy/1000203
Product manager (junior),Москва,158894,169549,164221.5,1.0,https://hh.ru/vacancy/1000204
Отчётный аналитик,Удалённо,66069,115928,90998.5,0.5,https://hh.ru/job/1000205
Интернет-маркетолог,Санкт-Петербург,119905,178530,149217.5,1.0,https://hh.ru/vacancy/1000206
Маркетинг-аналитик,Москва,52910,110008,81459.0,3.0,https://hh.ru/job/1000207
Интернет-маркетолог,Казань,113479,133730,123604.5,1.0,https://hh.ru/vacancy/1000208
Финансовый аналитик,Удалённо,117735,123261,120498.0,1.0,https://hh.ru/vacancy/1000209
Отчётный аналитик,Новосибирск,121264,195024,158144.0,1.0,https://hh.ru/job/1000210
BI-аналитик,Казань,63275,116112,89693.5,0.0,https://hh.ru/job/1000211
Data Engineer (junior),Санкт-Петербург,112274,128810,120542.0,1.0,https://hh.ru/job/1000212
Junior аналитик,Удалённо,121449,154990,138219.5,0.5,https://hh.ru/vacancy/1000213
Продуктовый аналитик,Екатеринбург,140776,224859,182817.5,0.5,https://hh.ru/vacancy/1000214
SQL-аналитик,Москва,100004,156031,128017.5,0.0,https://hh.ru/vacancy/1000215
Интернет-маркетолог,Новосибирск,102981,142512,122746.5,1.0,https://hh.ru/job/1000216
Специалист по рекламе,Екатеринбург,124659,138371,131515.0,3.0,https://hh.ru/job/1000217
Системный аналитик,Удалённо,94553,165008,129780.5,0.5,https://hh.ru/job/1000218
Data Scientist (junior),Удалённо,88447,168191,128319.0,1.0,https://hh.ru/vacancy/1000219
Data Engineer (junior),Казань,74529,84638,79583.5,2.0,https://hh.ru/vacancy/1000220
Junior аналитик,Удалённо,115703,169971,142837.0,0.5,https://hh.ru/job/1000221
Junior аналитик,Новосибирск,116090,175705,145897.5,3.0,https://hh.ru/vacancy/1000222
Junior аналитик,Екатеринбург,57260,144763,101011.5,1.0,https://hh.ru/job/1000223
Junior аналитик,Новосибирск,152581,187340,169960.5,1.0,https://hh.ru/vacancy/1000224
Маркетинг-аналитик,Санкт-Петербург,43812,108924,76368.0,2.0,https://hh.ru/vacancy/1000225
Специалист по рекламе,Санкт-Петербург,68024,99613,83818.5,0.5,https://hh.ru/job/1000226
Специалист по рекламе,Москва,98656,133671,116163.5,2.0,https://hh.ru/vacancy/1000227
Отчётный аналитик,Москва,156148,190157,173152.5,1.0,https://hh.ru/vacancy/1000228
SQL-аналитик,Санкт-Петербург,67285,155594,111439.5,3.0,https://hh.ru/job/1000229
Финансовый аналитик,Удалённо,132436,199482,165959.0,0.5,https://hh.ru/job/1000230
Junior аналитик,Новосибирск,156421,187564,171992.5,1.0,https://hh.ru/vacancy/1000231
Системный аналитик,Санкт-Петербург,41605,52759,47182.0,2.0,https://hh.ru/job/1000232
Финансовый аналитик,Москва,111158,137962,124560.0,0.0,https://hh.ru/vacancy/1000233
Специалист по рекламе,Санкт-Петербург,112303,158991,135647.0,1.0,https://hh.ru/job/1000234
Аналитик данных,Удалённо,67139,136427,101783.0,2.0,https://hh.ru/vacancy/1000235
Аналитик данных,Санкт-Петербург,117149,173344,145246.5,3.0,https://hh.ru/vacancy/1000236
Системный аналитик,Новосибирск,96138,121719,108928.5,1.0,https://hh.ru/job/1000237
Отчётный аналитик,Екатеринбург,158205,215853,187029.0,3.0,https://hh.ru/vacancy/1000238
Специалист по рекламе,Удалённо,116125,151212,133668.5,5.0,https://hh.ru/vacancy/1000239
Системный аналитик,Москва,53918,108848,81383.0,3.0,https://hh.ru/job/1000240
Маркетинг-аналитик,Новосибирск,125655,163636,144645.5,0.0,https://hh.ru/job/1000241
Интернет-маркетолог,Санкт-Петербург,67446,141744,104595.0,2.0,https://hh.ru/vacancy/1000242
Системный аналитик,Санкт-Петербург,53046,104213,78629.5,1.0,https://hh.ru/job/1000243
BI-аналитик,Екатеринбург,64818,145122,104970.0,5.0,https://hh.ru/job/1000244
Финансовый аналитик,Москва,140894,189302,165098.0,1.0,https://hh.ru/vacancy/1000245
Data Engineer (junior),Москва,155751,200250,178000.5,0.0,https://hh.ru/vacancy/1000246
Бизнес-аналитик,Казань,44324,101593,72958.5,2.0,https://hh.ru/job/1000247
Отчётный аналитик,Москва,116323,159882,138102.5,1.0,https://hh.ru/job/1000248
Системный аналитик,Екатеринбург,49111,128430,88770.5,5.0,https://hh.ru/job/1000249
Специалист по рекламе,Казань,78110,131897,105003.5,5.0,https://hh.ru/vacancy/1000250
Data Scientist (junior),Казань,56389,96877,76633.0,2.0,https://hh.ru/vacancy/1000251
Аналитик данных,Санкт-Петербург,81427,160868,121147.5,0.0,https://hh.ru/vacancy/1000252
BI-аналитик,Санкт-Петербург,119579,199242,159410.5,2.0,https://hh.ru/vacancy/1000253
SQL-аналитик,Москва,68746,96177,82461.5,0.0,https://hh.ru/vacancy/1000254
Junior аналитик,Казань,127886,194567,161226.5,0.0,https://hh.ru/vacancy/1000255
Бизнес-аналитик,Санкт-Петербург,147141,215624,181382.5,3.0,https://hh.ru/vacancy/1000256
Product manager (junior),Екатеринбург,40117,94270,67193.5,0.5,https://hh.ru/job/1000257
Отчётный аналитик,Санкт-Петербург,152221,163589,157905.0,1.0,https://hh.ru/job/1000258
Data Engineer (junior),Удалённо,124471,156895,140683.0,5.0,https://hh.ru/vacancy/1000259
Бизнес-аналитик,Удалённо,152613,202617,177615.0,1.0,https://hh.ru/vacancy/1000260
Системный аналитик,Санкт-Петербург,53234,142103,97668.5,0.5,https://hh.ru/vacancy/1000261
Маркетинг-аналитик,Казань,143864,205849,174856.5,5.0,https://hh.ru/job/1000262
Аналитик данных,Казань,93441,148510,120975.5,0.0,https://hh.ru/vacancy/1000263
Специалист по рекламе,Новосибирск,40846,98172,69509.0,3.0,https://hh.ru/job/1000264
Аналитик данных,Удалённо,50954,137015,93984.5,5.0,https://hh.ru/job/1000265
SQL-аналитик,Екатеринбург,119239,147637,133438.0,5.0,https://hh.ru/job/1000266
Маркетинг-аналитик,Казань,153689,209550,181619.5,2.0,https://hh.ru/job/1000267
Junior аналитик,Москва,86514,167411,126962.5,1.0,https://hh.ru/job/1000268
Специалист по рекламе,Удалённо,128236,215141,171688.5,0.5,https://hh.ru/vacancy/1000269
Финансовый аналитик,Екатеринбург,137579,211156,174367.5,3.0,https://hh.ru/vacancy/1000270
Продуктовый аналитик,Екатеринбург,46469,117110,81789.5,3.0,https://hh.ru/job/1000271
BI-аналитик,Казань,70105,84183,77144.0,1.0,https://hh.ru/vacancy/1000272
Аналитик данных,Екатеринбург,82101,112104,97102.5,0.5,https://hh.ru/job/1000273
Data Scientist (junior),Казань,104323,172091,138207.0,0.0,https://hh.ru/job/1000274
Аналитик данных,Санкт-Петербург,131922,187969,159945.5,0.0,https://hh.ru/vacancy/1000275
Бизнес-аналитик,Удалённо,98067,174693,136380.0,2.0,https://hh.ru/vacancy/1000276
Аналитик данных,Новосибирск,89376,152036,120706.0,1.0,https://hh.ru/vacancy/1000277
Отчётный аналитик,Санкт-Петербург,85587,140373,112980.0,5.0,https://hh.ru/vacancy/1000278
Аналитик данных,Удалённо,76976,83901,80438.5,2.0,https://hh.ru/vacancy/1000279
Продуктовый аналитик,Казань,144587,233563,189075.0,0.5,https://hh.ru/job/1000280
Продуктовый аналитик,Удалённо,107584,138599,123091.5,2.0,https://hh.ru/vacancy/1000281
Junior аналитик,Казань,144537,182857,163697.0,1.0,https://hh.ru/vacancy/1000282
Data Engineer (junior),Санкт-Петербург,118477,188358,153417.5,2.0,https://hh.ru/vacancy/1000283
Финансовый аналитик,Москва,150911,182200,166555.5,2.0,https://hh.ru/job/1000284
Data Scientist (junior),Москва,82533,90922,86727.5,3.0,https://hh.ru/vacancy/1000285
Аналитик данных,Удалённо,41828,72511,57169.5,3.0,https://hh.ru/job/1000286
Аналитик данных,Москва,41917,60546,51231.5,0.5,https://hh.ru/vacancy/1000287
BI-аналитик,Казань,60618,127168,93893.0,0.0,https://hh.ru/vacancy/1000288
Специалист по рекламе,Екатеринбург,72254,102080,87167.0,2.0,https://hh.ru/job/1000289
Продуктовый аналитик,Казань,145292,176922,161107.0,0.0,https://hh.ru/vacancy/1000290
Data Scientist (junior),Екатеринбург,156714,207877,182295.5,1.0,https://hh.ru/vacancy/1000291
Junior аналитик,Санкт-Петербург,87362,158797,123079.5,0.0,https://hh.ru/job/1000292
SQL-аналитик,Новосибирск,60128,76781,68454.5,2.0,https://hh.ru/vacancy/1000293
Data Engineer (junior),Екатеринбург,151281,184242,167761.5,0.5,https://hh.ru/job/1000294
Финансовый аналитик,Москва,99383,186324,142853.5,2.0,https://hh.ru/job/1000295
Маркетинг-аналитик,Казань,105545,184682,145113.5,5.0,https://hh.ru/job/1000296
Финансовый аналитик,Санкт-Петербург,122180,160842,141511.0,0.0,https://hh.ru/job/1000297
Отчётный аналитик,Москва,127958,189404,158681.0,0.0,https://hh.ru/job/1000298
Бизнес-аналитик,Санкт-Петербург,49865,76153,63009.0,1.0,https://hh.ru/vacancy/1000299
Отчётный аналитик,Новосибирск,42219,84096,63157.5,3.0,https://hh.ru/vacancy/1000300
